키워드,네이버검색량,PC,모바일,경쟁정도,추이지수,추이,월별추이
벽 선반,15650,4050,11600,높음,47.1,하락,55.8|53.6|54.6|55.2|52.5|52.4|57.4|59.5|58.3|49.3|54.1|45.8|47.1
사이드 테이블,21480,4280,17200,높음,72.9,유지,79.8|80.3|83.3|100|82.6|78.8|79.7|92.0|97.4|87.3|95.3|73.9|72.9
선반 행거,1110,200,910,중간,3.6,상승,4.2|3.9|3.3|3.6|4.6|5.3|6.2|4.4|5.1|4.6|5.1|3.8|3.6
패브릭소파,12580,2080,10500,높음,15.8,급하락,18.4|18.3|27.4|55.0|22.4|18.4|23.2|18.6|22.2|16.5|17.6|15.7|15.8
협탁,15170,3570,11600,높음,21.0,급하락,28.4|36.7|33.4|29.4|25.8|26.1|28.7|29.9|30.8|25.9|26.9|22.0|21.0
화장대,61200,14800,46400,중간,83.4,하락,84.7|91.2|88.6|88.9|80.1|78.0|81.0|86.4|100|90.6|93.9|73.1|83.4
확장형 식탁,11440,1820,9620,중간,15.6,상승,16.4|15.3|14.8|15.1|13.3|14.3|15.6|18.6|18.7|18.2|17.7|17.1|15.6
침대세트,840,190,650,높음,1.7,급상승,1.2|1.2|1.2|1.2|1.2|1.2|1.2|1.3|1.5|1.1|1.1|1.8|1.7
테라스,7920,1580,6340,높음,10.6,하락,13.3|12.4|11.3|11.0|11.3|10.9|9.2|9.3|8.4|7.4|9.2|10.5|10.6
야외가구,620,260,360,높음,1.3,상승,1.2|1.2|0.9|0.9|1.0|0.6|0.5|0.4|0.4|0.5|0.9|1.5|1.3
토퍼,53900,10700,43200,중간,70.8,급하락,99.7|98.4|92.3|92.7|100|99.3|89.8|93.8|93.8|90.3|82.2|73.3|70.8
티테이블,6150,1010,5140,중간,8.2,하락,12.2|10.9|10.1|10.0|9.7|9.0|10.6|9.8|11.1|9.2|10.5|8.7|8.2
라탄 정리함,120,20,100,높음,0.2,급하락,0.1|0.5|0.1|0.2|0.1|0.1|0.1|0.1|0.1|0.1|0.2|0.1|0.2
매쉬망 정리함,10,5,5,낮음,,,
먼지떨이,910,180,730,높음,0.6,급하락,1.4|1.4|1.2|0.8|0.7|0.6|0.6|0.6|0.6|0.6|0.7|0.6|0.6
멀티탭,77100,21800,55300,중간,47.0,급하락,100|97.9|95.7|73.3|59.4|55.4|58.6|59.1|63.2|52.1|55.3|44.3|47.0
기타 생필품,10,5,5,높음,,,
다리미판,13960,2260,11700,높음,10.1,급하락,12.4|11.5|10.4|9.5|9.4|9.6|6.4|4.7|4.9|4.9|7.9|9.3|10.1
다용도걸이,360,90,270,중간,2.1,급하락,2.6|3.6|2.7|2.7|1.9|2.0|1.7|2.1|2.3|2.1|2.7|2.1|2.1
데스크 정리용품,25,5,20,높음,0.1,급하락,0.0|0.1|0.1|0.1|0.1|0.1|0.0|0.0|0.1
플라스틱 트롤리,130,20,110,높음,0.2,급하락,0.7|0.6|0.6|0.7|0.5|0.4|0.4|0.3|0.6|0.3|0.6|0.4|0.2
건조대,5690,1160,4530,중간,34.1,하락,58.9|54.2|60.7|57.9|44.8|53.7|100|78.1|79.4|73.6|71.0|35.8|34.1
구강 케어,350,90,260,높음,1.8,급상승,0.6|0.2|0.2|0.3|0.5|0.6|0.4|0.7|0.8|0.7|1.7|0.9|1.8
그외 청소용품,10,5,5,낮음,,,
접이식 테이블,38620,8120,30500,높음,72.0,하락,100|91.2|92.3|94.6|91.0|84.2|84.0|88.5|91.7|78.5|82.2|74.8|72.0
철제 선반,24490,5390,19100,중간,41.5,급하락,96.5|71.3|59.7|70.8|63.5|60.6|72.3|54.4|49.8|41.9|50.8|46.6|41.5
철제 수납장,6800,1200,5600,높음,12.4,급하락,22.7|19.9|18.3|20.0|17.3|16.0|16.7|17.0|18.2|16.5|17.9|13.5|12.4
철제 트롤리,1820,240,1580,중간,2.3,하락,2.9|2.8|3.8|4.3|2.8|2.9|2.5|2.6|4.0|2.7|3.4|2.4|2.3
틈새 서랍장,5350,830,4520,중간,68.2,상승,71.6|69.3|64.3|73.6|69.1|70.5|83.0|82.2|93.3|79.5|91.9|69.3|68.2
틈새 트롤리,2980,500,2480,중간,37.9,급상승,22.7|17.2|17.8|22.0|18.7|17.1|23.2|24.6|42.8|44.5|51.6|39.0|37.9
플라스틱 선반,1160,300,860,높음,13.3,급하락,18.7|19.0|19.3|20.1|16.8|14.9|16.5|15.7|14.7|13.3|17.1|13.8|13.3
플라스틱 수납장,2160,420,1740,높음,29.0,하락,38.1|35.9|36.3|36.7|44.4|46.6|44.1|36.4|42.9|38.1|42.1|31.5|29.0
속옷 정리함,4270,700,3570,중간,57.7,하락,82.8|50.4|65.1|68.8|54.6|54.3|99.1|100|99.3|79.3|73.3|57.6|57.7
수건,62000,13900,48100,중간,40.9,하락,49.5|47.7|57.2|76.1|100|77.4|45.3|47.3|55.0|48.9|47.0|44.1|40.9
타월,4940,1070,3870,중간,3.5,급하락,6.0|6.0|7.0|5.7|4.8|4.4|3.8|4.3|4.4|3.9|3.9|3.8|3.5
압축백,550,100,450,높음,0.3,유지,0.3|0.3|0.3|0.3|0.3|0.4|0.3|0.3|0.3|0.3|0.3|0.3|0.3
압축팩,6790,1390,5400,중간,4.3,급하락,9.0|7.7|5.7|5.4|4.9|4.9|4.3|5.2|4.4|3.8|5.3|5.0|4.3
서류함,1820,990,830,중간,1.4,상승,1.6|1.4|1.7|1.6|1.6|1.3|1.7|2.0|2.2|1.8|2.0|1.9|1.4
섬유유연제,47070,5870,41200,중간,44.2,하락,51.3|51.6|51.7|51.8|44.6|43.7|40.8|49.4|49.7|40.0|48.3|42.6|44.2
세탁 acc,10,5,5,낮음,,,
세탁세제,57000,12300,44700,높음,47.6,상승,37.1|45.7|48.9|70.0|100|77.2|35.7|40.0|50.9|44.0|58.9|48.9|47.6
분리수거함,29330,7930,21400,높음,26.2,하락,35.6|33.3|33.8|35.3|32.7|30.1|30.4|30.6|31.4|27.8|34.0|27.2|26.2
빨래용품,35,5,30,높음,,,
생리대,34670,4970,29700,높음,54.0,급상승,55.6|51.7|54.9|58.0|60.0|49.0|49.7|74.3|100|70.9|91.1|68.3|54.0
모니터 받침대,30300,15100,15200,중간,49.6,상승,60.2|58.7|67.4|62.4|59.0|51.5|60.9|72.2|94.9|83.2|90.2|68.2|49.6
방향제,16850,4950,11900,중간,28.1,급하락,47.7|46.5|47.0|47.1|46.8|44.1|40.9|44.4|43.6|30.7|33.7|30.2|28.1
우산꽂이,14310,4500,9810,높음,25.2,급하락,35.5|38.6|32.9|28.0|29.5|24.8|16.3|18.6|13.3|13.9|25.5|23.2|25.2
원목 바스켓,25,5,20,높음,0.0,상승,0.0|0.0|0.0|0.0|0.0
종이 정리함,340,90,250,높음,0.7,유지,0.8|0.8|0.6|0.9|0.9|0.5|0.7|0.9|1.1|0.8|0.9|0.7|0.7
책꽂이,21720,5020,16700,높음,50.7,유지,61.7|58.3|61.3|66.3|60.8|55.2|55.8|64.9|82.7|69.5|82.8|55.6|50.7
독서대,23260,5160,18100,높음,56.3,하락,70.4|78.1|85.9|75.5|73.5|60.5|66.0|81.6|100|82.7|87.6|65.4|56.3
욕실소품,220,40,180,높음,0.4,하락,0.5|0.4|0.5|0.6|0.4|0.3|0.4|0.4|0.4|0.4|0.4|0.4|0.4
욕실수납,1530,260,1270,높음,3.7,하락,3.9|4.9|3.6|3.8|3.3|3.3|3.4|4.3|4.7|3.9|4.3|3.2|3.7
욕실패브릭,10,5,5,낮음,,,
욕실화,11800,1800,10000,중간,48.4,급하락,75.0|76.8|100|88.2|83.4|69.1|64.9|57.9|56.3|49.8|55.4|49.5|48.4
옷커버,2300,470,1830,높음,12.4,급하락,26.8|18.0|12.8|20.4|14.7|17.5|17.0|10.8|10.2|10.0|15.3|15.7|12.4
와이어 정리함,15,5,10,높음,0.0,유지,0.0
욕실 청소용품,810,170,640,높음,2.3,급하락,3.0|3.1|3.6|3.7|2.4|2.3|1.9|2.6|2.7|2.5|2.6|2.1|2.3
욕실매트,10810,1640,9170,중간,15.9,급하락,23.5|22.9|24.2|20.8|16.0|16.8|23.6|19.3|18.5|17.2|17.8|14.8|15.9
액세서리 정리함,15,5,10,높음,0.0,유지,0.0
여행수납,35,5,30,높음,0.0,유지,0.0|0.0|0.0
옷걸이,41360,7960,33400,중간,67.5,유지,85.9|78.5|71.5|70.3|70.1|87.8|97.1|100|93.7|78.0|85.2|74.5|67.5
휴지통,14030,3030,11000,중간,20.6,하락,26.0|24.7|25.0|28.0|24.2|23.9|24.6|23.3|25.4|23.4|24.1|20.2|20.6
가위,17530,6830,10700,중간,17.1,급상승,16.6|16.9|16.8|43.6|86.4|68.1|20.0|17.4|24.6|17.5|24.3|20.3|17.1
과일포크,1050,150,900,중간,1.1,급하락,1.6|1.4|1.3|1.4|1.3|1.1|1.0|1.1|1.2|1.1|1.3|1.1|1.1
교자상,8140,1370,6770,높음,8.6,하락,10.8|10.1|9.7|11.2|14.1|12.5|9.6|11.5|14.5|15.3|10.3|8.9|8.6
글라스잔,390,60,330,높음,0.4,하락,0.5|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.5|0.4|0.4|0.3|0.4
냄비,26160,7460,18700,중간,25.9,상승,25.5|26.7|27.0|55.3|100|78.0|33.2|36.0|47.3|33.5|34.5|28.6|25.9
냄비받침,4360,710,3650,중간,33.9,급하락,54.9|40.4|43.3|43.9|37.8|41.7|43.5|53.6|52.5|35.2|37.1|32.0|33.9
플라스틱 정리함,630,160,470,높음,4.4,하락,6.9|6.1|6.0|6.3|7.0|5.6|6.4|6.5|5.8|5.8|6.8|5.2|4.4
햄퍼,1440,270,1170,높음,10.6,급상승,11.9|9.4|9.1|11.2|12.0|9.7|8.7|8.8|10.5|10.1|23.8|14.7|10.6
행잉 오거나이저,1290,170,1120,높음,9.3,급상승,1.8|1.7|1.4|1.1|0.8|1.5|1.1|1.0|5.7|19.5|13.1|10.1|9.3
화장품 정리함,8030,1220,6810,높음,57.1,하락,85.3|70.1|73.2|100|78.0|62.1|69.7|78.7|92.1|81.7|86.7|59.8|57.1
탈취제,31160,7560,23600,중간,84.6,상승,81.2|80.3|89.7|93.4|99.1|100|76.2|79.6|84.4|79.7|98.2|90.2|84.6
테이프 클리너,2270,490,1780,중간,7.1,급하락,6.4|14.1|8.5|8.3|5.9|6.7|8.5|11.0|10.1|7.9|8.1|7.1|7.1
패브릭 정리함,420,50,370,중간,1.2,급하락,1.8|2.5|3.6|3.2|3.8|4.0|1.7|1.5|1.7|1.6|1.8|1.2|1.2
플라스틱 서랍장,13170,1870,11300,중간,40.0,하락,54.6|50.7|45.5|48.1|45.8|48.6|46.2|43.5|48.1|43.8|50.7|40.3|40.0
철제정리함,240,60,180,높음,0.5,상승,0.6|0.6|0.7|1.1|0.9|0.6|0.6|0.8|1.0|0.8|1.1|0.7|0.5
청소,6230,1350,4880,높음,14.8,하락,17.9|16.9|16.7|17.4|19.7|14.8|14.6|14.6|17.8|12.6|14.7|13.4|14.8
주방세제,29720,6520,23200,중간,62.1,유지,65.1|81.7|88.2|85.3|81.4|78.1|74.0|91.2|100|78.9|97.3|82.0|62.1
잡곡통,960,120,840,중간,2.1,하락,2.5|2.5|3.1|3.3|2.9|2.5|2.5|2.7|2.9|2.2|2.5|2.3|2.1
아이스트레이,1960,740,1220,높음,6.9,상승,3.9|3.8|4.2|3.4|1.9|1.1|1.1|0.9|1.0|1.0|1.7|4.6|6.9
압력솥,14850,2150,12700,중간,37.3,유지,34.0|33.4|50.7|42.7|49.2|49.8|46.3|53.6|67.7|44.6|41.5|34.3|37.3
앞치마,45610,7610,38000,높음,75.4,하락,98.3|96.5|100|94.8|94.9|82.3|78.1|84.8|85.9|78.1|92.6|83.5|75.4
주방장갑,1840,320,1520,높음,2.6,급하락,5.9|6.6|3.8|4.3|3.6|3.8|4.9|5.7|6.6|5.7|5.3|2.8|2.6
양념통,7720,1340,6380,중간,11.8,급하락,16.7|15.9|18.5|22.8|19.6|16.5|14.0|15.2|18.1|14.7|15.3|12.6|11.8
얼음통,2960,1070,1890,중간,5.9,급하락,4.8|5.8|5.3|3.4|2.2|1.3|1.2|1.3|1.3|1.4|2.0|4.4|5.9
와인용품,210,50,160,높음,0.2,급하락,0.6|0.4|0.4|0.6|0.4|0.6|0.5|0.6|0.5|0.4|0.3|0.2|0.2
숟가락,15120,5410,9710,높음,20.8,급상승,17.4|18.0|17.7|51.7|100|82.0|22.7|19.8|26.5|20.8|27.5|23.5|20.8
술잔,2470,710,1760,중간,3.7,급하락,5.2|4.8|5.3|5.5|5.5|4.7|5.4|5.8|4.9|4.0|4.3|4.1|3.7
스테인레스용기,190,50,140,높음,0.2,급하락,0.2|0.3|0.2|0.3|0.2|0.4|0.4|0.1|0.4|0.2|0.1|0.2|0.2
식거건조대,10,5,5,낮음,,,
식기단품,10,5,5,높음,,,
식기세트,3330,690,2640,높음,16.1,하락,18.4|20.2|19.7|22.4|25.5|19.3|20.7|24.9|24.8|21.6|19.3|15.9|16.1
식탁매트,12830,1830,11000,높음,62.2,하락,73.4|70.8|76.8|77.4|70.8|62.7|73.5|77.7|87.5|75.2|76.7|65.9|62.2
쌀통,18360,3860,14500,중간,71.2,급하락,98.9|86.4|89.1|99.9|100|89.5|96.9|86.0|90.2|68.8|74.2|71.4|71.2
저그,2260,420,1840,중간,9.9,급하락,13.7|13.8|15.5|14.5|11.8|11.8|10.5|10.0|10.5|9.0|9.6|9.2|9.9
밀폐용기,11020,2540,8480,중간,48.7,급하락,56.2|66.2|85.6|89.4|66.5|54.8|50.1|54.0|61.0|54.1|61.3|55.2|48.7
보온,860,190,670,높음,2.6,급하락,4.6|4.0|4.3|3.6|3.7|5.0|6.5|6.0|5.3|3.2|3.0|2.8|2.6
보냉용품,60,40,20,높음,0.0,유지,0.4|0.0
수세미,19480,3880,15600,중간,66.1,급하락,92.2|84.4|95.0|100|96.0|88.5|82.3|79.8|78.7|67.9|73.6|65.8|66.1
수세미홀더,340,30,310,높음,1.5,급상승,1.1|1.0|1.0|0.8|1.0|2.1|1.7|1.9|1.9|1.7|1.9|1.6|1.5
수저받침,3200,570,2630,높음,11.9,하락,14.8|14.8|16.3|16.9|15.1|14.4|13.3|16.6|17.8|14.4|14.8|11.3|11.9
수저통,11540,1850,9690,중간,18.8,급하락,27.0|25.1|26.4|29.7|28.0|25.9|23.5|24.5|26.9|23.6|24.2|19.6|18.8
다용도상,110,20,90,높음,0.1,급상승,0.0|0.1|0.1|0.2|0.1|0.1|0.1|0.1|0.2|0.2|0.1|0.0|0.1
도마,39130,6130,33000,중간,66.8,급하락,86.2|81.7|90.5|100|94.4|85.9|76.7|78.3|90.7|70.8|70.0|65.9|66.8
도시락스푼,10,5,5,높음,,,
도시락케이스,290,70,220,높음,0.5,급상승,0.5|0.5|0.4|0.4|0.5|0.6|0.5|0.4|0.4|0.4|0.7|0.6|0.5
돌솥,4420,830,3590,높음,18.1,하락,21.5|18.7|19.0|21.7|21.7|21.8|22.9|23.8|26.7|21.1|21.5|16.9|18.1
러너,4290,930,3360,높음,16.2,급하락,23.5|27.9|30.7|32.1|32.7|26.0|29.5|25.1|21.0|18.2|23.3|17.2|16.2
머그,1010,170,840,높음,5.2,급하락,8.0|7.5|14.1|14.4|6.1|6.5|9.2|8.3|7.8|6.6|7.2|5.0|5.2
트레이,14720,3420,11300,중간,61.2,급하락,81.5|80.4|92.0|100|88.0|78.1|81.6|79.2|83.1|67.8|75.4|66.5|61.2
티스푼,2600,530,2070,중간,12.1,급하락,20.2|19.9|18.3|16.3|15.6|15.6|15.0|16.9|18.6|16.1|15.8|13.9|12.1
퐁듀,3080,780,2300,높음,4.3,급하락,7.7|6.5|6.7|4.6|4.8|5.1|4.7|6.5|4.3|3.5|3.6|3.3|4.3
플라스틱용기,4350,1170,3180,높음,6.5,급상승,5.9|5.3|5.5|7.3|7.1|6.9|6.1|5.4|6.9|6.3|8.5|9.3|6.5
피크닉 도시락,3480,610,2870,높음,12.0,급상승,18.2|8.4|3.1|3.7|7.8|6.4|2.8|0.9|1.1|2.0|10.4|20.8|12.0
필러,11630,5040,6590,높음,18.5,급상승,16.3|15.3|14.8|51.6|100|81.4|20.1|18.8|28.0|20.8|26.3|20.8|18.5
믹싱볼,4250,840,3410,중간,5.9,하락,9.1|7.5|7.9|6.9|6.7|6.5|7.2|6.8|8.0|7.4|7.6|6.4|5.9
행주,15310,2410,12900,중간,5.8,하락,7.2|6.7|6.4|7.2|7.9|6.3|5.4|6.2|6.9|5.9|6.8|5.4|5.8
칼,19560,6160,13400,높음,7.3,상승,8.1|7.4|7.0|17.6|35.7|27.7|8.5|8.1|11.3|7.9|9.5|7.6|7.3
커트러리,10180,1930,8250,중간,4.5,급하락,8.8|6.7|5.4|6.3|5.2|4.6|5.1|5.9|5.6|5.2|4.6|4.9|4.5
커피,224700,13700,211000,높음,100,하락,96.8|91.4|90.4|95.6|82.4|96.6|78.9|77.4|77.1|79.0|81.0|84.3|100
티잔,220,30,190,높음,0.1,급하락,0.1|0.2|0.3|0.3|0.2|0.2|0.2|0.2|0.2|0.2|0.1|0.1|0.1
커피용품,1580,490,1090,높음,0.9,유지,1.1|0.9|0.9|1.0|1.0|0.9|0.9|0.9|1.0|0.9|1.0|0.9|0.9
컵,12930,4470,8460,중간,6.8,급상승,5.6|5.6|5.3|18.1|36.9|29.1|7.9|8.3|10.0|7.9|9.5|7.7|6.8
컵받침,3780,1040,2740,중간,1.8,급하락,2.3|2.6|3.2|3.1|2.6|2.1|2.1|2.3|2.1|1.7|1.8|1.8|1.8
텀블러,147900,28700,119200,중간,72.7,하락,78.2|85.2|100|89.8|75.8|60.1|61.0|65.8|65.9|61.8|74.6|71.0|72.7
주방선반,13690,2290,11400,중간,7.1,하락,8.1|8.0|8.6|9.1|8.6|7.9|8.8|8.8|9.4|8.4|8.7|7.1|7.1
주방잡화,40,20,20,높음,0.3,급하락,0.3|0.0|2.6|14.2|0.7|0.1|0.2|0.1|0.3
주방타올,830,130,700,높음,3.4,유지,4.2|4.1|4.6|4.6|6.6|4.2|3.6|6.8|4.2|3.6|3.9|5.1|3.4
주병,300,60,240,높음,1.0,급하락,1.6|1.3|1.4|1.6|1.6|1.4|1.2|1.3|1.4|1.1|1.1|0.9|1.0
주전자,9000,1530,7470,중간,44.2,유지,57.6|51.2|50.8|53.4|57.3|72.3|92.9|100|95.7|65.3|60.9|49.1|44.2
집게,16650,3850,12800,높음,70.1,급하락,93.7|94.6|94.7|91.8|86.3|81.1|75.4|76.0|75.0|64.4|77.3|75.2|70.1
찜솥,1770,260,1510,중간,6.2,하락,8.2|7.6|7.9|9.1|12.1|11.5|12.2|12.2|12.1|9.9|8.3|6.7|6.2
와인잔,11220,1940,9280,높음,42.9,하락,57.8|51.8|46.3|60.7|53.0|54.8|60.2|100|65.5|43.8|51.6|44.5|42.9
유리용기,2260,480,1780,중간,6.9,하락,7.9|8.8|10.0|11.7|11.6|10.4|9.8|8.8|10.7|7.9|9.1|8.3|6.9
유아식기,2140,270,1870,중간,7.9,상승,6.3|6.9|8.1|9.9|8.3|6.6|6.9|8.2|9.8|7.6|8.4|8.6|7.9
인퓨저,370,110,260,높음,1.3,급하락,2.4|2.2|2.3|2.1|2.4|2.3|3.0|2.9|2.6|1.5|1.6|1.4|1.3
젓가락,14450,2250,12200,높음,13.6,급하락,100|20.5|16.1|16.3|15.4|15.5|14.3|14.9|15.0|12.8|15.2|14.2|13.6
제빵용품,100,30,70,높음,0.0,급하락,0.2|0.1|0.2|0.5|0.1|0.0|0.1|0.1|0.1|0.1|0.1|0.1|0.0
조리도구,2580,530,2050,높음,2.2,급하락,3.5|3.4|3.5|3.6|3.5|2.6|2.8|3.2|4.2|3.1|3.1|2.5|2.2
주방매트,15180,2080,13100,중간,14.0,급하락,18.9|18.2|19.5|20.5|20.5|22.6|20.2|22.8|25.1|18.2|18.1|13.1|14.0
암막커튼,66700,14400,52300,높음,62.9,급하락,80.4|83.1|81.8|69.7|60.2|62.5|70.5|65.1|64.0|50.0|54.5|54.5|62.9
에어컨커버,6110,1120,4990,중간,22.8,하락,32.9|26.5|25.7|26.9|70.9|100|69.0|45.9|31.2|20.9|24.7|22.5|22.8
오픈형슬리퍼,10,5,5,높음,,,
요커버,2320,340,1980,높음,6.9,하락,9.1|8.6|7.6|7.4|9.2|9.5|6.8|7.2|8.5|7.6|8.0|7.2|6.9
유아배게,510,40,470,중간,1.6,유지,2.1|1.9|1.8|1.9|1.8|1.7|1.9|2.1|2.4|2.1|2.3|1.9|1.6
유아이불,1020,130,890,높음,3.6,상승,4.7|4.3|3.0|3.6|5.7|9.9|7.9|6.3|5.9|4.1|5.2|4.3|3.6
이불세트,8130,1300,6830,중간,50.1,상승,82.6|50.5|52.9|72.3|78.3|88.4|73.2|82.7|90.6|100|88.2|57.6|50.1
이불요,1220,240,980,중간,6.4,유지,8.4|8.3|7.8|6.8|9.0|9.6|7.4|9.1|9.6|8.4|9.8|7.8|6.4
베개솜,5280,760,4520,높음,23.9,급하락,35.4|36.9|32.7|40.3|36.7|35.8|29.5|55.8|35.3|30.1|26.7|23.4|23.9
블랑캣,630,100,530,높음,2.8,급하락,4.8|5.1|5.1|4.0|4.3|4.0|3.7|4.4|4.2|3.7|3.1|3.0|2.8
빅쿠션,480,50,430,높음,2.0,급하락,3.1|2.7|2.5|3.1|2.7|2.5|2.0|2.4|2.4|2.2|2.3|1.8|2.0
선풍기커버,5550,3280,2270,중간,9.0,급하락,10.4|11.8|6.0|5.5|17.1|45.4|33.7|15.1|8.2|4.5|3.9|4.3|9.0
속커튼,950,230,720,중간,2.5,급하락,8.2|3.7|3.9|3.2|3.0|2.7|3.7|2.7|3.5|2.8|3.0|2.6|2.5
솜 토퍼,80,20,60,높음,0.1,급하락,0.2|0.2|0.2|0.3|0.3|0.4|0.3|0.3|0.3|0.2|0.1|0.1|0.1
쇼파패드,13490,2090,11400,중간,32.0,급하락,39.8|44.5|49.1|100|45.7|45.3|44.2|34.5|29.5|22.5|27.6|27.4|32.0
수면안대,21760,3660,18100,중간,55.9,하락,63.4|57.4|58.4|63.0|58.1|50.5|47.7|46.9|46.6|50.2|57.8|51.2|55.9
매트리스커버,21520,3720,17800,높음,38.0,하락,45.6|46.1|42.2|43.9|46.1|49.2|41.8|39.0|43.7|45.3|42.6|38.2|38.0
목쿠션,2250,500,1750,높음,4.6,하락,5.9|5.6|6.6|6.6|6.5|6.1|5.6|4.6|5.2|4.1|6.0|6.5|4.6
무릎담요,3760,770,2990,중간,6.4,하락,8.2|8.4|15.8|43.7|27.2|54.3|56.4|48.2|36.5|21.9|15.1|6.2|6.4
바디필로우,43890,6390,37500,높음,74.6,급하락,88.7|88.4|92.1|100|90.0|81.5|71.9|67.0|71.7|67.1|68.6|62.6|74.6
발란스,1650,440,1210,높음,2.9,급하락,4.3|4.1|4.2|3.7|3.5|3.2|3.3|3.0|3.0|2.5|3.1|3.0|2.9
발매트,24090,5290,18800,중간,56.4,급하락,85.8|88.4|94.2|89.9|80.4|79.9|84.7|85.0|84.8|67.7|73.4|57.0|56.4
방석,18850,4850,14000,중간,49.6,하락,73.0|68.0|70.3|70.4|75.6|76.9|74.3|71.0|73.1|57.5|70.5|55.6|49.6
배게커버,7900,1060,6840,중간,20.2,급상승,13.1|14.4|13.9|14.0|14.5|15.2|13.9|19.5|22.0|20.7|21.0|19.3|20.2
후라이팬,130,20,110,높음,66.8,유지,68.2|68.4|71.0|81.7|87.9|77.3|68.8|78.3|100|74.8|78.7|69.5|66.8
구스다운,830,180,650,높음,2.1,급하락,4.6|5.3|7.0|11.8|16.3|44.3|80.7|96.5|51.6|15.4|4.8|2.3|2.1
극세사이불,3140,450,2690,높음,6.0,급상승,7.2|5.2|4.2|5.3|19.3|73.0|88.0|72.5|55.4|28.9|14.9|7.0|6.0
기타패브릭,10,5,5,낮음,,,
덮개형슬리퍼,10,5,5,낮음,,,
등쿠션,3720,680,3040,중간,4.8,하락,8.5|8.6|8.2|8.7|7.7|8.3|7.2|6.6|9.6|6.9|6.3|10.7|4.8
러그,29620,6320,23300,높음,42.8,하락,71.7|55.2|55.3|61.2|60.7|84.3|100|88.7|76.7|63.5|73.7|49.2|42.8
레이스커튼,3850,510,3340,중간,96.4,상승,85.6|88.2|84.0|72.7|66.2|58.7|68.5|90.4|90.9|82.8|100|90.0|96.4
강아지_기타훈련용품,10,5,5,낮음,,,
강아지_껌,10,5,5,낮음,,,
강아지_노즈워크,10,5,5,낮음,,,
강아지_매너밸트,10,5,5,낮음,,,
강아지_배변봉투,10,5,5,낮음,,,
강아지_배변판,10,5,5,낮음,,,
강아지_배변패드,10,5,5,낮음,,,
강아지_소시지,10,5,5,낮음,,,
스프레드,8220,1770,6450,높음,30.9,급하락,51.1|46.4|39.4|36.4|37.2|36.3|36.8|53.1|100|55.4|41.1|31.9|30.9
홑겹이불,780,120,660,높음,3.8,급하락,5.4|7.5|6.5|2.3|1.3|0.9|0.7|0.5|0.4|0.7|1.1|1.9|3.8
PVC매트,10040,1410,8630,중간,69.1,상승,69.0|65.9|67.1|75.4|73.8|71.5|68.5|72.8|85.5|72.0|100|71.5|69.1
강아지_건식사료,10,5,5,낮음,,,
강아지_기저귀,10,5,5,낮음,,,
강아지_기타간식,10,5,5,낮음,,,
캐노피,39800,11300,28500,높음,87.8,급하락,96.9|100|98.6|88.5|87.3|78.3|66.2|57.8|58.0|46.6|67.5|80.5|87.8
커튼 액세서리,10,5,5,높음,,,
커튼봉,12410,2630,9780,중간,34.5,하락,37.0|36.5|37.7|33.1|31.6|36.9|41.4|44.4|40.8|32.8|34.8|33.2|34.5
쿠션솜,2220,330,1890,높음,5.8,급하락,7.1|7.9|8.4|8.5|7.0|7.3|6.3|6.2|6.6|5.6|6.6|6.0|5.8
쿠션커버,8660,1070,7590,높음,21.7,급하락,27.7|30.1|29.2|29.0|26.2|24.0|21.9|21.6|21.2|17.6|23.3|19.8|21.7
쿨매트,37810,9210,28600,높음,24.1,급하락,39.4|96.7|100|25.3|4.8|2.0|1.4|1.3|1.7|2.0|4.8|16.4|24.1
티슈커버,460,100,360,높음,0.5,급하락,0.8|1.0|1.0|1.1|0.9|0.8|0.6|1.0|0.9|0.9|0.8|0.7|0.5
이불커버,5820,1050,4770,중간,8.3,상승,11.7|8.5|6.5|7.9|12.7|24.5|23.6|21.0|19.3|14.5|13.1|10.1|8.3
일반블라인드,10,5,5,높음,,,
일반솜,10,5,5,낮음,,,
일반커튼,80,20,60,높음,0.0,급하락,0.0|0.0|0.1|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.0|0.0|0.0
전기매트,3480,680,2800,높음,4.6,급상승,8.3|5.3|6.0|20.2|24.2|92.3|100|65.1|45.1|21.6|13.7|7.6|4.6
좌식쿠션,320,60,260,중간,0.2,유지,0.3|0.3|0.2|0.4|0.3|0.3|0.3|0.3|0.4|0.3|0.3|0.3|0.2
차렵이불,19160,3660,15500,높음,21.2,하락,38.2|26.7|17.7|15.1|29.8|40.7|28.0|24.4|23.6|23.6|27.2|24.7|21.2
카페트,14480,3280,11200,높음,13.0,하락,22.2|17.7|16.3|16.7|19.0|28.0|28.0|25.4|22.2|17.6|18.0|14.7|13.0
고양이_캣타워,10,5,5,낮음,,,
고양이_탈취,10,5,5,낮음,,,
고양이_터널,10,5,5,낮음,,,
고양이_파우치,10,5,5,낮음,,,
고양이_화장실,10,5,5,낮음,,,
고양이_화장실매트,10,5,5,낮음,,,
관상어_용품,10,5,5,낮음,,,
기타 식기용품,10,5,5,낮음,,,
고양이_소독,10,5,5,낮음,,,
고양이_스낵,10,5,5,낮음,,,
고양이_스크래쳐,10,5,5,낮음,,,
고양이_습식사료,10,5,5,낮음,,,
